type_of_house;street;house_number
yes;Сергеляхское шоссе 10 км;2
yes;Сергеляхское шоссе 10 км;47
yes;Сергеляхское шоссе 11км;1
yes;Сергеляхское шоссе 12 км;09.фев
yes;Сергеляхское шоссе 12 км;3
yes;Сергеляхское шоссе 12 км;02.окт
yes;Сергеляхское шоссе 12 км;14.янв
church;Сергеляхское шоссе 12 км;12/1а
residential;Сергеляхское шоссе 12 км;38
yes;Сергеляхское шоссе 12 км;14.янв
residential;Сергеляхское шоссе 12 км;7
residential;Сергеляхское шоссе 12 км;07.янв
residential;Сергеляхское шоссе 12 км;16
yes;Сергеляхское шоссе 12 км;03.01.2009
yes;Сергеляхское шоссе 12 км;05.ноя
yes;Сергеляхское шоссе 12 км;05.окт
yes;Сергеляхское шоссе 12 км;01.янв
yes;Сергеляхское шоссе 12 км;май.15
yes;Сергеляхское шоссе 5 км;14
yes;Сергеляхское шоссе 5 км;08.янв
yes;Сергеляхское шоссе 5 км;08.янв
detached;Сергеляхское шоссе 5 км;16
detached;Сергеляхское шоссе 5 км;16/1а
yes;Сергеляхское шоссе 5 км;20
detached;Сергеляхское шоссе 5 км;18
yes;Сергеляхское шоссе 5 км;12.янв
detached;Сергеляхское шоссе 5 км;16.фев
yes;Сергеляхское шоссе 8 км;1
yes;Советская улица;4
yes;Советская улица;12
yes;Советская улица;06.фев
yes;Советская улица;6А
yes;Советская улица;06.янв
yes;Советская улица;3
yes;Советская улица;14
yes;Советская улица;2
house;Советская улица;5
house;Советская улица;7
yes;Советская улица;16
residential;Советская улица;25
yes;Сосновая улица;16
yes;Сосновая улица;10
house;Сосновая улица;31
house;Сосновая улица;36
apartments;Сосновая улица;20
yes;Сосновая улица;19
house;Сосновая улица;58
house;Сосновая улица;46
house;Сосновая улица;33
house;Сосновая улица;65/3
house;Сосновая улица;39
house;Сосновая улица;43
yes;Сосновая улица;13
house;Сосновая улица;56/1
house;Сосновая улица;64А
house;Сосновая улица;64
house;Сосновая улица;59
house;Сосновая улица;42
house;Сосновая улица;24
house;Сосновая улица;41
house;Сосновая улица;65
house;Сосновая улица;79
house;Сосновая улица;66
house;Сосновая улица;79/2
house;Сосновая улица;69
house;Сосновая улица;58/1
shop;Сосновая улица;65/2
house;Сосновая улица;72
house;Сосновая улица;77
house;Сосновая улица;70
house;Сосновая улица;60
house;Сосновая улица;75
house;Сосновая улица;62
house;Сосновая улица;65А
shop;Сосновая улица;62А
house;Сосновая улица;27
house;Сосновая улица;66/1
house;Сосновая улица;48
house;Сосновая улица;7
house;Сосновая улица;52
house;Сосновая улица;50
yes;Сосновая улица;15
house;Сосновая улица;5
house;Сосновая улица;65/5
yes;Сосновая улица;8
house;Сосновая улица;54
yes;Сосновая улица;11
yes;Сосновая улица;21
apartments;Сосновая улица;2
house;Сосновая улица;23.янв
house;Сосновая улица;3
house;Сосновая улица;1
house;Сосновая улица;38
house;Сосновая улица;40
house;Сосновая улица;32
house;Сосновая улица;35
house;Сосновая улица;28
house;Сосновая улица;55
house;Сосновая улица;57
yes;Сосновая улица;09.янв
house;Сосновая улица;63
house;Сосновая улица;59/1
house;Сосновая улица;30
house;Сосновая улица;29
yes;Сосновая улица;17
apartments;Сосновая улица;6
house;Сосновая улица;53
house;Сосновая улица;44
house;Сосновая улица;22
yes;Сосновая улица;18
house;Сосновая улица;25
house;Сосновая улица;37
house;Сосновая улица;26
house;Сосновая улица;9
yes;Сосновая улица;4
house;Сосновая улица;23
house;Сосновая улица;49
yes;Сосновая улица;14
house;Сосновая улица;34
house;улица Бекетова;55
yes;улица Бекетова;19
house;улица Бекетова;35/2
yes;улица Бекетова;15
yes;улица Бекетова;25
house;улица Бекетова;71/1
house;улица Бекетова;59
house;улица Бекетова;65А
detached;улица Бекетова;8
house;улица Бекетова;79
detached;улица Бекетова;36
detached;улица Бекетова;52
house;улица Бекетова;89
house;улица Бекетова;37
house;улица Бекетова;85
house;улица Бекетова;83
house;улица Бекетова;33
house;улица Бекетова;25.янв
yes;улица Бекетова;3
detached;улица Бекетова;32
detached;улица Бекетова;16
yes;улица Бекетова;26
yes;улица Бекетова;6
detached;улица Бекетова;18
detached;улица Бекетова;50
detached;улица Бекетова;14
detached;улица Бекетова;28
detached;улица Бекетова;16.янв
house;улица Бекетова;06.янв
detached;улица Бекетова;12
detached;улица Бекетова;10
detached;улица Бекетова;24
detached;улица Бекетова;40
detached;улица Бекетова;22
detached;улица Бекетова;44
detached;улица Бекетова;38
detached;улица Бекетова;34
detached;улица Бекетова;20
detached;улица Бекетова;42
detached;улица Бекетова;48
detached;улица Бекетова;46
detached;улица Бекетова;30
house;улица Бекетова;81
house;улица Бекетова;65
house;улица Бекетова;57
house;улица Бекетова;69
commercial;улица Бекетова;63
house;улица Бекетова;77
house;улица Бекетова;61
house;улица Бекетова;73
house;улица Бекетова;74
house;улица Бекетова;75
house;улица Бекетова;67
house;улица Бекетова;87
house;улица Бекетова;25.фев
house;улица Бекетова;39
house;улица Бекетова;43
house;улица Бекетова;31
house;улица Бекетова;41
house;улица Бекетова;35/1
yes;улица Бекетова;13
yes;улица Бекетова;23
house;улица Бекетова;35
yes;улица Бекетова;11.янв
house;улица Бекетова;53
house;улица Бекетова;29
house;улица Бекетова;27
yes;улица Бекетова;21
house;улица Бекетова;51
yes;улица Бекетова;1
yes;улица Бекетова;17
house;улица Бекетова;47
house;улица Бекетова;49
yes;улица Билибина;6 к1
yes;улица Билибина;47/7
yes;улица Билибина;4/8а
yes;улица Билибина;6 к2
yes;улица Билибина;2
yes;улица Билибина;2/2а
yes;улица Билибина;32А
detached;улица Билибина;13А/3
yes;улица Билибина;59
yes;улица Билибина;23А
apartments;улица Билибина;19
detached;улица Билибина;13Б/7
detached;улица Билибина;13А/8
yes;улица Билибина;17.фев
yes;улица Билибина;17.мар
yes;улица Билибина;27.янв
yes;улица Билибина;17.янв
yes;улица Билибина;48А
detached;улица Билибина;13Б/6
detached;улица Билибина;13/4Д
detached;улица Билибина;13Б/5
detached;улица Билибина;13А/7
yes;улица Билибина;47/7а
yes;улица Билибина;2/1 к1
yes;улица Билибина;2/1 к2
yes;улица Билибина;23.янв
school;улица Билибина;14
yes;улица Билибина;44А
residential;улица Билибина;13
yes;улица Билибина;47/1
yes;улица Билибина;9А
yes;улица Билибина;9нс
yes;улица Билибина;2/1 к 1
yes;улица Билибина;1 к1
yes;улица Билибина;01.янв
yes;улица Билибина;1
yes;улица Билибина;6 к3
yes;улица Билибина;40 к1
yes;улица Билибина;6/2в
house;улица Билибина;янв.19
yes;улица Билибина;36 к1
yes;улица Билибина;25
yes;улица Билибина;42 к5А
yes;улица Билибина;25.янв
yes;улица Билибина;4
yes;улица Билибина;6
yes;улица Билибина;10.янв
yes;улица Билибина;6/2а
residential;улица Билибина;36 к3
kindergarten;улица Билибина;47/4
yes;улица Билибина;19 к4А
yes;улица Билибина;19 к9
yes;улица Билибина;45 к1
yes;улица Билибина;10А
yes;улица Билибина;19 к1
yes;улица Билибина;47
yes;улица Билибина;5
residential;улица Билибина;46 к4
apartments;улица Билибина;46 к3
yes;улица Билибина;27
yes;улица Билибина;02.янв
yes;улица Билибина;29
yes;улица Билибина;40 к1
yes;улица Билибина;26 к1
residential;улица Билибина;42 к7
yes;улица Билибина;24
apartments;улица Билибина;48
yes;улица Билибина;30
yes;улица Билибина;43 к1
apartments;улица Билибина;46 к5
residential;улица Билибина;42 к6
yes;улица Билибина;31
yes;улица Билибина;1 с3
yes;улица Билибина;41/1
residential;улица Билибина;42 к5
yes;улица Билибина;36
yes;улица Билибина;35 к1
yes;улица Билибина;16
yes;улица Билибина;31 к1
yes;улица Билибина;2/1 к2
apartments;улица Билибина;48 к1
yes;улица Билибина;45
yes;улица Билибина;37 к1
residential;улица Билибина;46 к4Г
yes;улица Билибина;34
yes;улица Билибина;32
yes;улица Билибина;41
yes;улица Билибина;21 к1
yes;улица Билибина;43
yes;улица Билибина;10Б
residential;улица Билибина;12
apartments;улица Билибина;46 к2
apartments;улица Билибина;48 к2
apartments;улица Билибина;46
residential;улица Билибина;36 к2
residential;улица Билибина;42 к3
apartments;улица Билибина;48 к3
apartments;улица Билибина;44
yes;улица Билибина;33/1
yes;улица Билибина;22
yes;улица Билибина;1 с2
residential;улица Билибина;12.янв
yes;улица Билибина;1А
residential;улица Билибина;42 к1
yes;улица Билибина;39 к1
commercial;улица Билибина;38 к1
yes;улица Билибина;19 к2
yes;улица Билибина;28
commercial;улица Билибина;48 к4
yes;улица Билибина;1 с1
yes;улица Билибина;18
residential;улица Билибина;42 к2
yes;улица Билибина;35
yes;улица Билибина;50
yes;улица Билибина;33
yes;улица Билибина;26
yes;улица Билибина;39
yes;улица Билибина;20
yes;улица Билибина;19 к3
apartments;улица Борисовка 1-й квартал;48
apartments;улица Борисовка 1-й квартал;14
apartments;улица Борисовка 1-й квартал;25
apartments;улица Борисовка 1-й квартал;18
apartments;улица Борисовка 1-й квартал;27
apartments;улица Борисовка 1-й квартал;15
apartments;улица Борисовка 1-й квартал;36
apartments;улица Борисовка 1-й квартал;45
apartments;улица Борисовка 1-й квартал;39
apartments;улица Борисовка 1-й квартал;13
yes;улица Борисовка 1-й квартал;41 к1А
yes;улица Борисовка 1-й квартал;41/2
apartments;улица Борисовка 1-й квартал;28
apartments;улица Борисовка 1-й квартал;54
apartments;улица Борисовка 1-й квартал;41/1
apartments;улица Борисовка 1-й квартал;26
apartments;улица Борисовка 1-й квартал;57
apartments;улица Борисовка 1-й квартал;61
apartments;улица Борисовка 1-й квартал;3
apartments;улица Борисовка 1-й квартал;33
apartments;улица Борисовка 1-й квартал;51
apartments;улица Борисовка 1-й квартал;24
apartments;улица Борисовка 1-й квартал;29
apartments;улица Борисовка 1-й квартал;56
apartments;улица Борисовка 1-й квартал;57
apartments;улица Борисовка 1-й квартал;30
apartments;улица Борисовка 1-й квартал;20
apartments;улица Борисовка 1-й квартал;5
apartments;улица Борисовка 1-й квартал;22
apartments;улица Борисовка 1-й квартал;59
apartments;улица Борисовка 1-й квартал;44
apartments;улица Борисовка 1-й квартал;21
apartments;улица Борисовка 1-й квартал;41
apartments;улица Борисовка 1-й квартал;58
apartments;улица Борисовка 1-й квартал;49
apartments;улица Борисовка 1-й квартал;23
apartments;улица Борисовка 1-й квартал;19
apartments;улица Борисовка 1-й квартал;2
apartments;улица Борисовка 1-й квартал;46
yes;улица Борисовка 1-й квартал;6
apartments;улица Борисовка 1-й квартал;40
apartments;улица Борисовка 1-й квартал;9
apartments;улица Борисовка 1-й квартал;12
apartments;улица Борисовка 1-й квартал;42
apartments;улица Борисовка 1-й квартал;47
apartments;улица Борисовка 1-й квартал;1
apartments;улица Борисовка 1-й квартал;38
apartments;улица Борисовка 1-й квартал;43
apartments;улица Борисовка 1-й квартал;34
